PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,1,22.0,1,0,7.25,2.0
2,1,1,0,38.0,1,0,71.2833,0.0
3,1,3,0,26.0,0,0,7.925,2.0
4,1,1,0,35.0,1,0,53.1,2.0
5,0,3,1,35.0,0,0,8.05,2.0
7,0,1,1,54.0,0,0,51.8625,2.0
8,0,3,1,2.0,3,1,21.075,2.0
9,1,3,0,27.0,0,2,11.1333,2.0
10,1,2,0,14.0,1,0,30.0708,0.0
11,1,3,0,4.0,1,1,16.7,2.0
12,1,1,0,58.0,0,0,26.55,2.0
13,0,3,1,20.0,0,0,8.05,2.0
14,0,3,1,39.0,1,5,31.275,2.0
15,0,3,0,14.0,0,0,7.8542,2.0
16,1,2,0,55.0,0,0,16.0,2.0
17,0,3,1,2.0,4,1,29.125,1.0
19,0,3,0,31.0,1,0,18.0,2.0
21,0,2,1,35.0,0,0,26.0,2.0
22,1,2,1,34.0,0,0,13.0,2.0
23,1,3,0,15.0,0,0,8.0292,1.0
24,1,1,1,28.0,0,0,35.5,2.0
25,0,3,0,8.0,3,1,21.075,2.0
26,1,3,0,38.0,1,5,31.3875,2.0
28,0,1,1,19.0,3,2,263.0,2.0
31,0,1,1,40.0,0,0,27.7208,0.0
34,0,2,1,66.0,0,0,10.5,2.0
35,0,1,1,28.0,1,0,82.1708,0.0
36,0,1,1,42.0,1,0,52.0,2.0
38,0,3,1,21.0,0,0,8.05,2.0
39,0,3,0,18.0,2,0,18.0,2.0
40,1,3,0,14.0,1,0,11.2417,0.0
41,0,3,0,40.0,1,0,9.475,2.0
42,0,2,0,27.0,1,0,21.0,2.0
44,1,2,0,3.0,1,2,41.5792,0.0
45,1,3,0,19.0,0,0,7.8792,1.0
50,0,3,0,18.0,1,0,17.8,2.0
51,0,3,1,7.0,4,1,39.6875,2.0
52,0,3,1,21.0,0,0,7.8,2.0
53,1,1,0,49.0,1,0,76.7292,0.0
54,1,2,0,29.0,1,0,26.0,2.0
55,0,1,1,65.0,0,1,61.9792,0.0
57,1,2,0,21.0,0,0,10.5,2.0
58,0,3,1,28.5,0,0,7.2292,0.0
59,1,2,0,5.0,1,2,27.75,2.0
60,0,3,1,11.0,5,2,46.9,2.0
61,0,3,1,22.0,0,0,7.2292,0.0
63,0,1,1,45.0,1,0,83.475,2.0
64,0,3,1,4.0,3,2,27.9,2.0
67,1,2,0,29.0,0,0,10.5,2.0
68,0,3,1,19.0,0,0,8.1583,2.0
69,1,3,0,17.0,4,2,7.925,2.0
70,0,3,1,26.0,2,0,8.6625,2.0
71,0,2,1,32.0,0,0,10.5,2.0
72,0,3,0,16.0,5,2,46.9,2.0
73,0,2,1,21.0,0,0,73.5,2.0
74,0,3,1,26.0,1,0,14.4542,0.0
75,1,3,1,32.0,0,0,56.4958,2.0
76,0,3,1,25.0,0,0,7.65,2.0
79,1,2,1,0.83,0,2,29.0,2.0
80,1,3,0,30.0,0,0,12.475,2.0
81,0,3,1,22.0,0,0,9.0,2.0
82,1,3,1,29.0,0,0,9.5,2.0
84,0,1,1,28.0,0,0,47.1,2.0
85,1,2,0,17.0,0,0,10.5,2.0
86,1,3,0,33.0,3,0,15.85,2.0
87,0,3,1,16.0,1,3,34.375,2.0
89,1,1,0,23.0,3,2,263.0,2.0
90,0,3,1,24.0,0,0,8.05,2.0
91,0,3,1,29.0,0,0,8.05,2.0
92,0,3,1,20.0,0,0,7.8542,2.0
93,0,1,1,46.0,1,0,61.175,2.0
94,0,3,1,26.0,1,2,20.575,2.0
95,0,3,1,59.0,0,0,7.25,2.0
97,0,1,1,71.0,0,0,34.6542,0.0
98,1,1,1,23.0,0,1,63.3583,0.0
99,1,2,0,34.0,0,1,23.0,2.0
100,0,2,1,34.0,1,0,26.0,2.0
101,0,3,0,28.0,0,0,7.8958,2.0
103,0,1,1,21.0,0,1,77.2875,2.0
104,0,3,1,33.0,0,0,8.6542,2.0
105,0,3,1,37.0,2,0,7.925,2.0
106,0,3,1,28.0,0,0,7.8958,2.0
107,1,3,0,21.0,0,0,7.65,2.0
109,0,3,1,38.0,0,0,7.8958,2.0
111,0,1,1,47.0,0,0,52.0,2.0
112,0,3,0,14.5,1,0,14.4542,0.0
113,0,3,1,22.0,0,0,8.05,2.0
114,0,3,0,20.0,1,0,9.825,2.0
115,0,3,0,17.0,0,0,14.4583,0.0
116,0,3,1,21.0,0,0,7.925,2.0
117,0,3,1,70.5,0,0,7.75,1.0
118,0,2,1,29.0,1,0,21.0,2.0
119,0,1,1,24.0,0,1,247.5208,0.0
120,0,3,0,2.0,4,2,31.275,2.0
121,0,2,1,21.0,2,0,73.5,2.0
123,0,2,1,32.5,1,0,30.0708,0.0
124,1,2,0,32.5,0,0,13.0,2.0
125,0,1,1,54.0,0,1,77.2875,2.0
126,1,3,1,12.0,1,0,11.2417,0.0
128,1,3,1,24.0,0,0,7.1417,2.0
130,0,3,1,45.0,0,0,6.975,2.0
131,0,3,1,33.0,0,0,7.8958,0.0
132,0,3,1,20.0,0,0,7.05,2.0
133,0,3,0,47.0,1,0,14.5,2.0
134,1,2,0,29.0,1,0,26.0,2.0
135,0,2,1,25.0,0,0,13.0,2.0
136,0,2,1,23.0,0,0,15.0458,0.0
137,1,1,0,19.0,0,2,26.2833,2.0
138,0,1,1,37.0,1,0,53.1,2.0
139,0,3,1,16.0,0,0,9.2167,2.0
140,0,1,1,24.0,0,0,79.2,0.0
142,1,3,0,22.0,0,0,7.75,2.0
143,1,3,0,24.0,1,0,15.85,2.0
144,0,3,1,19.0,0,0,6.75,1.0
145,0,2,1,18.0,0,0,11.5,2.0
146,0,2,1,19.0,1,1,36.75,2.0
147,1,3,1,27.0,0,0,7.7958,2.0
148,0,3,0,9.0,2,2,34.375,2.0
149,0,2,1,36.5,0,2,26.0,2.0
150,0,2,1,42.0,0,0,13.0,2.0
151,0,2,1,51.0,0,0,12.525,2.0
152,1,1,0,22.0,1,0,66.6,2.0
153,0,3,1,55.5,0,0,8.05,2.0
154,0,3,1,40.5,0,2,14.5,2.0
156,0,1,1,51.0,0,1,61.3792,0.0
157,1,3,0,16.0,0,0,7.7333,1.0
158,0,3,1,30.0,0,0,8.05,2.0
161,0,3,1,44.0,0,1,16.1,2.0
162,1,2,0,40.0,0,0,15.75,2.0
163,0,3,1,26.0,0,0,7.775,2.0
164,0,3,1,17.0,0,0,8.6625,2.0
165,0,3,1,1.0,4,1,39.6875,2.0
166,1,3,1,9.0,0,2,20.525,2.0
168,0,3,0,45.0,1,4,27.9,2.0
170,0,3,1,28.0,0,0,56.4958,2.0
171,0,1,1,61.0,0,0,33.5,2.0
172,0,3,1,4.0,4,1,29.125,1.0
173,1,3,0,1.0,1,1,11.1333,2.0
174,0,3,1,21.0,0,0,7.925,2.0
175,0,1,1,56.0,0,0,30.6958,0.0
176,0,3,1,18.0,1,1,7.8542,2.0
178,0,1,0,50.0,0,0,28.7125,0.0
179,0,2,1,30.0,0,0,13.0,2.0
180,0,3,1,36.0,0,0,0.0,2.0
183,0,3,1,9.0,4,2,31.3875,2.0
184,1,2,1,1.0,2,1,39.0,2.0
185,1,3,0,4.0,0,2,22.025,2.0
188,1,1,1,45.0,0,0,26.55,2.0
189,0,3,1,40.0,1,1,15.5,1.0
190,0,3,1,36.0,0,0,7.8958,2.0
191,1,2,0,32.0,0,0,13.0,2.0
192,0,2,1,19.0,0,0,13.0,2.0
193,1,3,0,19.0,1,0,7.8542,2.0
194,1,2,1,3.0,1,1,26.0,2.0
195,1,1,0,44.0,0,0,27.7208,0.0
196,1,1,0,58.0,0,0,146.5208,0.0
198,0,3,1,42.0,0,1,8.4042,2.0
200,0,2,0,24.0,0,0,13.0,2.0
201,0,3,1,28.0,0,0,9.5,2.0
203,0,3,1,34.0,0,0,6.4958,2.0
204,0,3,1,45.5,0,0,7.225,0.0
205,1,3,1,18.0,0,0,8.05,2.0
206,0,3,0,2.0,0,1,10.4625,2.0
207,0,3,1,32.0,1,0,15.85,2.0
208,1,3,1,26.0,0,0,18.7875,0.0
209,1,3,0,16.0,0,0,7.75,1.0
210,1,1,1,40.0,0,0,31.0,0.0
211,0,3,1,24.0,0,0,7.05,2.0
212,1,2,0,35.0,0,0,21.0,2.0
213,0,3,1,22.0,0,0,7.25,2.0
214,0,2,1,30.0,0,0,13.0,2.0
216,1,1,0,31.0,1,0,113.275,0.0
217,1,3,0,27.0,0,0,7.925,2.0
218,0,2,1,42.0,1,0,27.0,2.0
219,1,1,0,32.0,0,0,76.2917,0.0
220,0,2,1,30.0,0,0,10.5,2.0
221,1,3,1,16.0,0,0,8.05,2.0
222,0,2,1,27.0,0,0,13.0,2.0
223,0,3,1,51.0,0,0,8.05,2.0
225,1,1,1,38.0,1,0,90.0,2.0
226,0,3,1,22.0,0,0,9.35,2.0
227,1,2,1,19.0,0,0,10.5,2.0
228,0,3,1,20.5,0,0,7.25,2.0
229,0,2,1,18.0,0,0,13.0,2.0
231,1,1,0,35.0,1,0,83.475,2.0
232,0,3,1,29.0,0,0,7.775,2.0
233,0,2,1,59.0,0,0,13.5,2.0
234,1,3,0,5.0,4,2,31.3875,2.0
235,0,2,1,24.0,0,0,10.5,2.0
237,0,2,1,44.0,1,0,26.0,2.0
238,1,2,0,8.0,0,2,26.25,2.0
239,0,2,1,19.0,0,0,10.5,2.0
240,0,2,1,33.0,0,0,12.275,2.0
243,0,2,1,29.0,0,0,10.5,2.0
244,0,3,1,22.0,0,0,7.125,2.0
245,0,3,1,30.0,0,0,7.225,0.0
246,0,1,1,44.0,2,0,90.0,1.0
247,0,3,0,25.0,0,0,7.775,2.0
248,1,2,0,24.0,0,2,14.5,2.0
249,1,1,1,37.0,1,1,52.5542,2.0
250,0,2,1,54.0,1,0,26.0,2.0
252,0,3,0,29.0,1,1,10.4625,2.0
253,0,1,1,62.0,0,0,26.55,2.0
254,0,3,1,30.0,1,0,16.1,2.0
255,0,3,0,41.0,0,2,20.2125,2.0
256,1,3,0,29.0,0,2,15.2458,0.0
258,1,1,0,30.0,0,0,86.5,2.0
259,1,1,0,35.0,0,0,512.3292,0.0
260,1,2,0,50.0,0,1,26.0,2.0
262,1,3,1,3.0,4,2,31.3875,2.0
263,0,1,1,52.0,1,1,79.65,2.0
264,0,1,1,40.0,0,0,0.0,2.0
266,0,2,1,36.0,0,0,10.5,2.0
267,0,3,1,16.0,4,1,39.6875,2.0
268,1,3,1,25.0,1,0,7.775,2.0
269,1,1,0,58.0,0,1,153.4625,2.0
270,1,1,0,35.0,0,0,135.6333,2.0
272,1,3,1,25.0,0,0,0.0,2.0
273,1,2,0,41.0,0,1,19.5,2.0
274,0,1,1,37.0,0,1,29.7,0.0
276,1,1,0,63.0,1,0,77.9583,2.0
277,0,3,0,45.0,0,0,7.75,2.0
279,0,3,1,7.0,4,1,29.125,1.0
280,1,3,0,35.0,1,1,20.25,2.0
281,0,3,1,65.0,0,0,7.75,1.0
282,0,3,1,28.0,0,0,7.8542,2.0
283,0,3,1,16.0,0,0,9.5,2.0
284,1,3,1,19.0,0,0,8.05,2.0
286,0,3,1,33.0,0,0,8.6625,0.0
287,1,3,1,30.0,0,0,9.5,2.0
288,0,3,1,22.0,0,0,7.8958,2.0
289,1,2,1,42.0,0,0,13.0,2.0
290,1,3,0,22.0,0,0,7.75,1.0
291,1,1,0,26.0,0,0,78.85,2.0
292,1,1,0,19.0,1,0,91.0792,0.0
293,0,2,1,36.0,0,0,12.875,0.0
294,0,3,0,24.0,0,0,8.85,2.0
295,0,3,1,24.0,0,0,7.8958,2.0
297,0,3,1,23.5,0,0,7.2292,0.0
298,0,1,0,2.0,1,2,151.55,2.0
300,1,1,0,50.0,0,1,247.5208,0.0
303,0,3,1,19.0,0,0,0.0,2.0
306,1,1,1,0.92,1,2,151.55,2.0
308,1,1,0,17.0,1,0,108.9,0.0
309,0,2,1,30.0,1,0,24.0,0.0
310,1,1,0,30.0,0,0,56.9292,0.0
311,1,1,0,24.0,0,0,83.1583,0.0
312,1,1,0,18.0,2,2,262.375,0.0
313,0,2,0,26.0,1,1,26.0,2.0
314,0,3,1,28.0,0,0,7.8958,2.0
315,0,2,1,43.0,1,1,26.25,2.0
316,1,3,0,26.0,0,0,7.8542,2.0
317,1,2,0,24.0,1,0,26.0,2.0
318,0,2,1,54.0,0,0,14.0,2.0
319,1,1,0,31.0,0,2,164.8667,2.0
320,1,1,0,40.0,1,1,134.5,0.0
321,0,3,1,22.0,0,0,7.25,2.0
322,0,3,1,27.0,0,0,7.8958,2.0
323,1,2,0,30.0,0,0,12.35,1.0
324,1,2,0,22.0,1,1,29.0,2.0
326,1,1,0,36.0,0,0,135.6333,0.0
327,0,3,1,61.0,0,0,6.2375,2.0
328,1,2,0,36.0,0,0,13.0,2.0
329,1,3,0,31.0,1,1,20.525,2.0
330,1,1,0,16.0,0,1,57.9792,0.0
332,0,1,1,45.5,0,0,28.5,2.0
333,0,1,1,38.0,0,1,153.4625,2.0
334,0,3,1,16.0,2,0,18.0,2.0
337,0,1,1,29.0,1,0,66.6,2.0
338,1,1,0,41.0,0,0,134.5,0.0
339,1,3,1,45.0,0,0,8.05,2.0
340,0,1,1,45.0,0,0,35.5,2.0
341,1,2,1,2.0,1,1,26.0,2.0
342,1,1,0,24.0,3,2,263.0,2.0
343,0,2,1,28.0,0,0,13.0,2.0
344,0,2,1,25.0,0,0,13.0,2.0
345,0,2,1,36.0,0,0,13.0,2.0
346,1,2,0,24.0,0,0,13.0,2.0
347,1,2,0,40.0,0,0,13.0,2.0
349,1,3,1,3.0,1,1,15.9,2.0
350,0,3,1,42.0,0,0,8.6625,2.0
351,0,3,1,23.0,0,0,9.225,2.0
353,0,3,1,15.0,1,1,7.2292,0.0
354,0,3,1,25.0,1,0,17.8,2.0
356,0,3,1,28.0,0,0,9.5,2.0
357,1,1,0,22.0,0,1,55.0,2.0
358,0,2,0,38.0,0,0,13.0,2.0
361,0,3,1,40.0,1,4,27.9,2.0
362,0,2,1,29.0,1,0,27.7208,0.0
363,0,3,0,45.0,0,1,14.4542,0.0
364,0,3,1,35.0,0,0,7.05,2.0
366,0,3,1,30.0,0,0,7.25,2.0
367,1,1,0,60.0,1,0,75.25,0.0
370,1,1,0,24.0,0,0,69.3,0.0
371,1,1,1,25.0,1,0,55.4417,0.0
372,0,3,1,18.0,1,0,6.4958,2.0
373,0,3,1,19.0,0,0,8.05,2.0
374,0,1,1,22.0,0,0,135.6333,0.0
375,0,3,0,3.0,3,1,21.075,2.0
377,1,3,0,22.0,0,0,7.25,2.0
378,0,1,1,27.0,0,2,211.5,0.0
379,0,3,1,20.0,0,0,4.0125,0.0
380,0,3,1,19.0,0,0,7.775,2.0
381,1,1,0,42.0,0,0,227.525,0.0
382,1,3,0,1.0,0,2,15.7417,0.0
383,0,3,1,32.0,0,0,7.925,2.0
384,1,1,0,35.0,1,0,52.0,2.0
386,0,2,1,18.0,0,0,73.5,2.0
387,0,3,1,1.0,5,2,46.9,2.0
388,1,2,0,36.0,0,0,13.0,2.0
390,1,2,0,17.0,0,0,12.0,0.0
391,1,1,1,36.0,1,2,120.0,2.0
392,1,3,1,21.0,0,0,7.7958,2.0
393,0,3,1,28.0,2,0,7.925,2.0
394,1,1,0,23.0,1,0,113.275,0.0
395,1,3,0,24.0,0,2,16.7,2.0
396,0,3,1,22.0,0,0,7.7958,2.0
397,0,3,0,31.0,0,0,7.8542,2.0
398,0,2,1,46.0,0,0,26.0,2.0
399,0,2,1,23.0,0,0,10.5,2.0
400,1,2,0,28.0,0,0,12.65,2.0
401,1,3,1,39.0,0,0,7.925,2.0
402,0,3,1,26.0,0,0,8.05,2.0
403,0,3,0,21.0,1,0,9.825,2.0
404,0,3,1,28.0,1,0,15.85,2.0
405,0,3,0,20.0,0,0,8.6625,2.0
406,0,2,1,34.0,1,0,21.0,2.0
407,0,3,1,51.0,0,0,7.75,2.0
408,1,2,1,3.0,1,1,18.75,2.0
409,0,3,1,21.0,0,0,7.775,2.0
413,1,1,0,33.0,1,0,90.0,1.0
415,1,3,1,44.0,0,0,7.925,2.0
417,1,2,0,34.0,1,1,32.5,2.0
418,1,2,0,18.0,0,2,13.0,2.0
419,0,2,1,30.0,0,0,13.0,2.0
420,0,3,0,10.0,0,2,24.15,2.0
422,0,3,1,21.0,0,0,7.7333,1.0
423,0,3,1,29.0,0,0,7.875,2.0
424,0,3,0,28.0,1,1,14.4,2.0
425,0,3,1,18.0,1,1,20.2125,2.0
427,1,2,0,28.0,1,0,26.0,2.0
428,1,2,0,19.0,0,0,26.0,2.0
430,1,3,1,32.0,0,0,8.05,2.0
431,1,1,1,28.0,0,0,26.55,2.0
433,1,2,0,42.0,1,0,26.0,2.0
434,0,3,1,17.0,0,0,7.125,2.0
435,0,1,1,50.0,1,0,55.9,2.0
436,1,1,0,14.0,1,2,120.0,2.0
437,0,3,0,21.0,2,2,34.375,2.0
438,1,2,0,24.0,2,3,18.75,2.0
439,0,1,1,64.0,1,4,263.0,2.0
440,0,2,1,31.0,0,0,10.5,2.0
441,1,2,0,45.0,1,1,26.25,2.0
442,0,3,1,20.0,0,0,9.5,2.0
443,0,3,1,25.0,1,0,7.775,2.0
444,1,2,0,28.0,0,0,13.0,2.0
